route_id,direction_id,direction,direction_destination
Red,0,South,Ashmont/Braintree
Red,1,North,Alewife
Mattapan,0,Outbound,Mattapan
Mattapan,1,Inbound,Ashmont
Orange,0,South,Forest Hills
Orange,1,North,Oak Grove
Green-B,0,West,Boston College
Green-B,1,East,Park Street
Green-C,0,West,Cleveland Circle
Green-C,1,East,North Station
Green-D,0,West,Riverside
Green-D,1,East,Government Center
Green-E,0,West,Heath Street
Green-E,1,East,Lechmere
Blue,0,West,Bowdoin
Blue,1,East,Wonderland
741,0,Outbound,Logan Airport
741,1,Inbound,South Station
742,0,Outbound,Design Center
742,1,Inbound,South Station
743,0,Outbound,Chelsea
743,1,Inbound,South Station
751,0,Outbound,Dudley
751,1,Inbound,South Station
749,0,Outbound,Dudley
749,1,Inbound,Downtown Crossing
746,0,Outbound,Silver Line Way
746,1,Inbound,South Station
CR-Fairmount,0,Outbound,Fairmount
CR-Fairmount,1,Inbound,South Station
CR-Fitchburg,0,Outbound,Wachusett
CR-Fitchburg,1,Inbound,North Station
CR-Worcester,0,Outbound,Worcester
CR-Worcester,1,Inbound,South Station
CR-Franklin,0,Outbound,Forge Park/495 or Foxboro
CR-Franklin,1,Inbound,South Station
CR-Greenbush,0,Outbound,Greenbush
CR-Greenbush,1,Inbound,South Station
CR-Haverhill,0,Outbound,Haverhill
CR-Haverhill,1,Inbound,North Station
CR-Kingston,0,Outbound,Kingston or Plymouth
CR-Kingston,1,Inbound,South Station
CR-Lowell,0,Outbound,Lowell
CR-Lowell,1,Inbound,North Station
CR-Middleborough,0,Outbound,Middleborough/Lakeville
CR-Middleborough,1,Inbound,South Station
CR-Needham,0,Outbound,Needham Heights
CR-Needham,1,Inbound,South Station
CR-Newburyport,0,Outbound,Newburyport or Rockport
CR-Newburyport,1,Inbound,North Station
CR-Providence,0,Outbound,Stoughton or Wickford Junction
CR-Providence,1,Inbound,South Station
CR-Foxboro,0,Outbound,Foxboro or Providence
CR-Foxboro,1,Inbound,South Station or Foxboro
CR-SouthShoreLtd,0,Outbound,Braintree
CR-SouthShoreLtd,1,Inbound,South Station
CapeFlyer,0,Outbound,Hyannis
CapeFlyer,1,Inbound,South Station
Boat-F4,0,Outbound,Charlestown
Boat-F4,1,Inbound,Long Wharf
Boat-F1,0,Outbound,Hingham or Hull
Boat-F1,1,Inbound,Long Wharf or Rowes Wharf
747,0,Outbound,Sullivan
747,1,Inbound,Ruggles
708,0,Outbound,Beth Israel Deaconess or Boston Medical Center
708,1,Inbound,Andrew
1,0,Outbound,Harvard
1,1,Inbound,Dudley
4,0,Outbound,North Station
4,1,Inbound,Tide Street
7,0,Outbound,City Point
7,1,Inbound,Downtown Boston
8,0,Outbound,Harbor Point/UMass
8,1,Inbound,Kenmore
9,0,Outbound,City Point
9,1,Inbound,Copley
10,0,Outbound,City Point
10,1,Inbound,Copley
11,0,Outbound,City Point
11,1,Inbound,Downtown Boston
14,0,Outbound,Roslindale Square
14,1,Inbound,Heath Street
15,0,Outbound,Kane Square
15,1,Inbound,Ruggles
16,0,Outbound,Forest Hills
16,1,Inbound,Andrew or Harbor Point
17,0,Outbound,Fields Corner
17,1,Inbound,Andrew
18,0,Outbound,Ashmont
18,1,Inbound,Andrew
19,0,Outbound,Fields Corner
19,1,Inbound,Kenmore or Ruggles
21,0,Outbound,Ashmont
21,1,Inbound,Forest Hills
22,0,Outbound,Ashmont
22,1,Inbound,Ruggles
23,0,Outbound,Ashmont
23,1,Inbound,Ruggles
24,0,Outbound,Wakefield Avenue & Truman Parkway
24,1,Inbound,Mattapan or Ashmont
2427,0,Outbound,Wakefield Avenue & Truman Parkway
2427,1,Inbound,Ashmont
26,0,Outbound,Ashmont
26,1,Inbound,Gallivan Boulevard
27,0,Outbound,Mattapan
27,1,Inbound,Ashmont
28,0,Outbound,Mattapan
28,1,Inbound,Ruggles
29,0,Outbound,Mattapan
29,1,Inbound,Jackson Square
30,0,Outbound,Mattapan
30,1,Inbound,Forest Hills
31,0,Outbound,Mattapan
31,1,Inbound,Forest Hills
32,0,Outbound,Wolcott Square
32,1,Inbound,Forest Hills
3233,0,Outbound,"River Street & Milton Street, Dedham"
3233,1,Inbound,Forest Hills
33,0,Outbound,"River Street & Milton Street, Dedham"
33,1,Inbound,Mattapan
34,0,Outbound,Dedham Line
34,1,Inbound,Forest Hills
34E,0,Outbound,Walpole
34E,1,Inbound,Forest Hills
35,0,Outbound,Dedham Mall
35,1,Inbound,Forest Hills
36,0,Outbound,Millennium Park or VA Hospital
36,1,Inbound,Forest Hills
37,0,Outbound,Baker Street & Vermont Street
37,1,Inbound,Forest Hills
38,0,Outbound,Wren Street
38,1,Inbound,Forest Hills
39,0,Outbound,Forest Hills
39,1,Inbound,Back Bay Station
40,0,Outbound,Georgetowne
40,1,Inbound,Forest Hills
4050,0,Outbound,Cleary Square
4050,1,Inbound,Forest Hills
41,0,Outbound,Centre Street & Eliot Street
41,1,Inbound,JFK/UMass Station
42,0,Outbound,Forest Hills
42,1,Inbound,Dudley
43,0,Outbound,Ruggles
43,1,Inbound,Downtown Boston
44,0,Outbound,Jackson Square
44,1,Inbound,Ruggles
45,0,Outbound,Franklin Park
45,1,Inbound,Ruggles
47,0,Outbound,"Central Square, Cambridge"
47,1,Inbound,Broadway Station
50,0,Outbound,Cleary Square
50,1,Inbound,Forest Hills
51,0,Outbound,Reservoir
51,1,Inbound,Forest Hills
52,0,Outbound,Dedham Mall
52,1,Inbound,Watertown Yard
55,0,Outbound,Jersey Street & Queensberry Street
55,1,Inbound,Downtown Boston
57,0,Outbound,Watertown Yard
57,1,Inbound,Kenmore
57A,0,Outbound,Oak Square
57A,1,Inbound,Kenmore
59,0,Outbound,Needham Junction
59,1,Inbound,Watertown Square
60,0,Outbound,Chestnut Hill
60,1,Inbound,Kenmore
61,0,Outbound,North Waltham
61,1,Inbound,Waltham Center
62,0,Outbound,Bedford VA Hospital
62,1,Inbound,Alewife
627,0,Outbound,Bedford VA Hospital
627,1,Inbound,Alewife
64,0,Outbound,Oak Square
64,1,Inbound,University Park or Kendall/MIT
65,0,Outbound,Brighton
65,1,Inbound,Kenmore
66,0,Outbound,Harvard
66,1,Inbound,Dudley
67,0,Outbound,Turkey Hill
67,1,Inbound,Alewife
68,0,Outbound,Harvard
68,1,Inbound,Kendall/MIT
69,0,Outbound,Harvard
69,1,Inbound,Lechmere
70,0,Outbound,Cedarwood
70,1,Inbound,"Central Square, Cambridge"
71,0,Outbound,Watertown Square
71,1,Inbound,Harvard
72,0,Outbound,Huron Avenue
72,1,Inbound,Harvard
73,0,Outbound,Waverley Square
73,1,Inbound,Harvard
74,0,Outbound,Belmont Center
74,1,Inbound,Harvard
75,0,Outbound,Belmont Center
75,1,Inbound,Harvard
76,0,Outbound,Lincoln Lab/Hanscom Air Force Base
76,1,Inbound,Alewife
77,0,Outbound,Arlington Heights
77,1,Inbound,Harvard
78,0,Outbound,Arlmont Village
78,1,Inbound,Harvard
79,0,Outbound,Arlington Heights
79,1,Inbound,Alewife
80,0,Outbound,Arlington Center
80,1,Inbound,Lechmere
83,0,Outbound,Rindge Avenue
83,1,Inbound,"Central Square, Cambridge"
84,0,Outbound,Arlmont Village
84,1,Inbound,Alewife
85,0,Outbound,Spring Hill
85,1,Inbound,Kendall/MIT
86,0,Outbound,Sullivan
86,1,Inbound,Reservoir
87,0,Outbound,Clarendon Hill or Arlington Center
87,1,Inbound,Lechmere
88,0,Outbound,Clarendon Hill
88,1,Inbound,Lechmere
89,0,Outbound,Clarendon Hill or Davis
89,1,Inbound,Sullivan
8993,0,Outbound,Clarendon Hill
8993,1,Inbound,Haymarket
90,0,Outbound,Davis
90,1,Inbound,Assembly
91,0,Outbound,Sullivan
91,1,Inbound,"Central Square, Cambridge"
92,0,Outbound,Sullivan
92,1,Inbound,Downtown Boston
93,0,Outbound,Sullivan
93,1,Inbound,Downtown Boston
94,0,Outbound,Medford Square
94,1,Inbound,Davis
