route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id
Red-1-0,Red,0,Alewife - Ashmont,,1,10010050,43206839
Red-3-0,Red,0,Alewife - Braintree,,1,10010051,43206854
Red-1-0_70061_70067_2,Red,0,Harvard - Ashmont,,4,10010099,43145895-AlewifeHarvard2
Red-3-0_70061_70067_2,Red,0,Harvard - Braintree,,4,10010099,43146066-AlewifeHarvard2
Red-1-1,Red,1,Ashmont - Alewife,,1,10010151,43206834
Red-3-1,Red,1,Braintree - Alewife,,1,10010152,43206849
Red-1-1_70068_70061_0,Red,1,Ashmont - Harvard,,4,10010199,43145809-AlewifeHarvard0
Red-3-1_70068_70061_0,Red,1,Braintree - Harvard,,4,10010199,43145981-AlewifeHarvard0
Mattapan-_-0,Mattapan,0,Ashmont - Mattapan,,1,10011000,43000504
Mattapan-_-1,Mattapan,1,Mattapan - Ashmont,,1,10011100,43000502
Orange-3-0,Orange,0,Oak Grove - Forest Hills,,1,10020000,43031970
Orange-3-0_70030_70016_0,Orange,0,Oak Grove - Sullivan Square,,4,10020099,43032078-20:45-HaySullTufts0
Orange-3-0_70030_70016_2,Orange,0,Tufts Medical Center - Forest Hills,,4,10020099,43032078-20:45-HaySullTufts2
Orange-5-0,Orange,0,Wellington - Forest Hills,Weekdays only,3,10020099,43032233
Orange-3-1,Orange,1,Forest Hills - Oak Grove,,1,10020100,43032103
Orange-3-1_70017_70031_0,Orange,1,Forest Hills - Tufts Medical Center,,4,10020199,43032203-20:45-HaySullTufts0
Orange-3-1_70017_70031_2,Orange,1,Sullivan Square - Oak Grove,,4,10020199,43032203-20:45-HaySullTufts2
Green-B-3-0,Green-B,0,Park Street - Boston College,,1,10032000,43017985
Green-B-0-0,Green-B,0,Lechmere - Boston College,Weekend early mornings only,3,10032099,43026887
Green-B-3-1,Green-B,1,Boston College - Park Street,,1,10032100,43017944
Green-B-0-1,Green-B,1,Boston College - Lechmere,Weekend early mornings only,3,10032199,43026886
Green-C-1-0,Green-C,0,North Station - Cleveland Circle,,1,10033000,43019654
Green-C-0-0,Green-C,0,Lechmere - Cleveland Circle,Early mornings only,3,10033099,43019511
Green-C-1-1,Green-C,1,Cleveland Circle - North Station,,1,10033100,43019514
Green-C-0-1,Green-C,1,Cleveland Circle - Lechmere,Early mornings only,3,10033199,43019510
Green-D-2-0,Green-D,0,Government Center - Riverside,,1,10034000,43018762
Green-D-0-0,Green-D,0,Lechmere - Riverside,Weekday early mornings only,3,10034099,43020316
Green-D-2-0_70151_70175_0,Green-D,0,Government Center - Kenmore,,4,10034099,43021150-KenmoreReservoir0
Green-D-2-0_70151_70175_2,Green-D,0,Reservoir - Riverside,,4,10034099,43021150-KenmoreReservoir2
Green-D-4-0,Green-D,0,Lechmere - Reservoir,Weekdays only,3,10034099,43020247
Green-D-4-0_70151_70175_0,Green-D,0,Lechmere - Kenmore,,4,10034099,43020418-20:45-KenmoreReservoir0
Green-D-2-1,Green-D,1,Riverside - Government Center,,1,10034100,43019080
Green-D-0-1,Green-D,1,Riverside - Lechmere,Weekday early mornings only,3,10034199,43020318
Green-D-2-1_70174_70150_0,Green-D,1,Riverside - Reservoir,,4,10034199,43021114-KenmoreReservoir0
Green-D-2-1_70174_70150_2,Green-D,1,Kenmore - Government Center,,4,10034199,43021114-KenmoreReservoir2
Green-D-4-1,Green-D,1,Reservoir - Lechmere,Weekdays only,3,10034199,43020183
Green-D-5-1,Green-D,1,Reservoir - Government Center,Weekday early mornings only,3,10034199,43020168
Green-E-0-0,Green-E,0,Lechmere - Heath Street,,1,10035000,43020163
Green-E-2-0,Green-E,0,Government Center - Heath Street,Weekday early mornings only,3,10035099,43020170
Green-E-0-1,Green-E,1,Heath Street - Lechmere,,1,10035100,43020164
Blue-6-0,Blue,0,Wonderland - Bowdoin,,1,10040000,42885000
Blue-8-0,Blue,0,Orient Heights - Bowdoin,Early mornings only,3,10040099,42885354
Blue-6-1,Blue,1,Bowdoin - Wonderland,,1,10040100,42885177
741-_-0,741,0,South Station - Logan Airport Terminals,,1,10051000,43161217
741-_-1,741,1,Logan Airport Terminals - South Station,,1,10051100,43161182
741-2-1,741,1,Logan Airport Terminals - South Station (Surface Route),Late nights only,3,10051199,43161183
742-1-0,742,0,South Station - Drydock Ave (AM Route),,1,10052006,43160896
742-4-0,742,0,South Station - Drydock Ave (Omits 88 Black Falcon Ave),Evenings only,3,10052093,43160907
742-1-1,742,1,Drydock Ave - South Station (AM Route),,1,10052100,43160897
743-_-0,743,0,South Station - Chelsea Station,,1,10053000,43162002
743-_-1,743,1,Chelsea Station - South Station,,1,10053101,43162003
743-1-1,743,1,Chelsea Station - South Station (Surface Route),Late nights only,3,10053198,43162196
751-_-0,751,0,South Station - Dudley Station,,1,10055000,43160692
751-_-1,751,1,Dudley Station - South Station,,1,10055100,43160691
749-_-0,749,0,Temple Place - Dudley Station,,1,10056000,43160690
749-_-1,749,1,Dudley Station - Temple Place,,1,10056100,43160689
746-_-0,746,0,South Station - Silver Line Way,,1,10057000,43160893
746-_-1,746,1,Silver Line Way - South Station,,1,10057100,43160892
CR-Fairmount-0-0,CR-Fairmount,0,South Station - Readville via Fairmount,,1,20001000,CR-Weekday-Fall-19-769
CR-Fairmount-0-1,CR-Fairmount,1,Readville - South Station via Fairmount,,1,20001100,CR-Weekday-Fall-19-766
CR-Fitchburg-0-0,CR-Fitchburg,0,North Station - Wachusett,,1,20002000,CR-Weekday-Fall-19-425
CR-Fitchburg-0-1,CR-Fitchburg,1,Wachusett - North Station,,1,20002100,CR-Weekday-Fall-19-402
CR-Worcester-0-0,CR-Worcester,0,South Station - Worcester,,1,20003000,CR-Weekday-Fall-19-501
CR-Worcester-0-1,CR-Worcester,1,Worcester - South Station,,1,20003100,CR-Weekday-Fall-19-500
CR-Franklin-0-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,1,20004000,CR-Weekday-Fall-19-729
CR-Franklin-2-0,CR-Franklin,0,South Station - Foxboro via Back Bay,,3,20004002,CR-Weekday-Fall-19-753
CR-Franklin-3-0,CR-Franklin,0,South Station - Foxboro via Fairmount,,3,20004003,CR-Weekday-Fall-19-749
CR-Franklin-0-1,CR-Franklin,1,Forge Park/495 - South Station via Back Bay,,1,20004100,CR-Weekday-Fall-19-704
