service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BUS320-2-Sa-02,1,1,1,1,1,0,0,20200724,20200814
BUS320-5-Su-02,0,0,0,0,0,0,1,20200726,20200823
BUS320-6-Sa-02,1,1,1,1,1,0,0,20200724,20200814
BUS320-9-Su-02,0,0,0,0,0,0,1,20200726,20200823
BUS320-A-Sa-02,1,1,1,1,1,0,0,20200724,20200814
BUS320-C-Sa-02,1,1,1,1,1,0,0,20200724,20200814
BUS320-F-Su-02,0,0,0,0,0,0,1,20200726,20200823
BUS320-G-Sa-02,1,1,1,1,1,0,0,20200724,20200814
BUS320-J-Su-02,0,0,0,0,0,0,1,20200726,20200823
BUS320-K-Sa-02,1,1,1,1,1,0,0,20200724,20200814
BUS320-M-Su-02,0,0,0,0,0,0,1,20200726,20200823
BUS320-N-Sa-02,1,1,1,1,1,0,0,20200724,20200814
BUS320-R-Su-02,0,0,0,0,0,0,1,20200726,20200823
BUS320-S-Sa-02,1,1,1,1,1,0,0,20200724,20200814
BUS320-U-Su-02,0,0,0,0,0,0,1,20200726,20200823
BUS320-V-Sa-02,1,1,1,1,1,0,0,20200724,20200814
BUS320-W-Sa-02,0,0,0,0,0,1,0,20200725,20200815
BUS320-X-Sa-02,0,0,0,0,0,1,0,20200822,20200829
BUS320-Z-Sa-02,0,0,0,0,0,1,0,20200822,20200829
Boat-F1-WkdLmd,1,1,1,1,1,0,0,20200724,20200828
Boat-F4-Wkd,1,1,1,1,1,0,0,20200724,20200828
CR-Sa-Fairmount-Smr-20,0,0,0,0,0,1,0,20200725,20200829
CR-Sa-Fitchburg-Smr-20,0,0,0,0,0,1,0,20200801,20200808
CR-Sa-Fitchburg-Smr-20-FtgGLX,0,0,0,0,0,1,0,20200815,20200822
CR-Sa-Franklin-Smr-20,0,0,0,0,0,1,0,20200725,20200829
CR-Sa-Greenbush-Smr-20,0,0,0,0,0,1,0,20200808,20200829
CR-Sa-Greenbush-Smr-20-GrhSthStn,0,0,0,0,0,1,0,20200725,20200801
