service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BUS12020-hba10ns1-Wdy-02,0,1,1,1,1,0,0,,
BUS12020-hbb10ns1-Wdy-02,0,1,1,1,1,0,0,,
BUS12020-hbc10ns1-Wdy-02,0,1,1,1,1,0,0,,
BUS12020-hbf10ns1-Wdy-02,0,1,1,1,1,0,0,,
BUS12020-hbg10ns1-Wdy-02,0,1,1,1,1,0,0,,
BUS12020-hbl10ns1-Wdy-02,0,1,1,1,1,0,0,,
BUS12020-hbq10ns1-Wdy-02,0,1,1,1,1,0,0,,
BUS12020-hbs10ns1-Wdy-02,0,1,1,1,1,0,0,,
BUS12020-hbt10ns1-Wdy-02,0,1,1,1,1,0,0,,
BUS12020-htn10ns1-Wdy-02,0,1,1,1,1,0,0,,
Boat-F1-Frd,0,0,0,0,1,0,0,,
Boat-F1-Wkd,1,1,1,1,0,0,0,,
Boat-F4-Snd,0,0,0,0,0,0,1,,
Boat-F4-Std,0,0,0,0,0,1,0,,
Boat-F4-Wkd,1,1,1,1,1,0,0,,
CR-Sa-Fairmount-Fall-19,0,0,0,0,0,1,0,,
CR-Sa-Fairmount-Fall-19C0,0,0,0,0,0,0,0,,
CR-Sa-Fitchburg-Fall-19,0,0,0,0,0,1,0,,
CR-Sa-Fitchburg-Fall-19-FtgGLX,0,0,0,0,0,1,0,,
CR-Sa-Fitchburg-Fall-19C0,0,0,0,0,0,0,0,,
CR-Sa-Franklin-Fall-19,0,0,0,0,0,1,0,,
CR-Sa-Franklin-Fall-19C0,0,0,0,0,0,0,0,,
CR-Sa-Greenbush-Fall-19,0,0,0,0,0,1,0,,
CR-Sa-Greenbush-Fall-19C0,0,0,0,0,0,0,0,,
CR-Sa-Haverhill-Fall-19,0,0,0,0,0,1,0,,
CR-Sa-Haverhill-Fall-19C0,0,0,0,0,0,0,0,,
CR-Sa-Kingston-Fall-19,0,0,0,0,0,1,0,,
CR-Sa-Kingston-Fall-19C0,0,0,0,0,0,0,0,,
CR-Sa-Lowell-Fall-19,0,0,0,0,0,1,0,,
CR-Sa-Lowell-Fall-19C0,0,0,0,0,0,0,0,,
CR-Sa-Middleborough-Fall-19,0,0,0,0,0,1,0,,
CR-Sa-Middleborough-Fall-19C0,0,0,0,0,0,0,0,,
CR-Sa-Needham-Fall-19,0,0,0,0,0,1,0,,
CR-Sa-Needham-Fall-19C0,0,0,0,0,0,0,0,,
CR-Sa-Newburyport-Fall-19,0,0,0,0,0,1,0,,
CR-Sa-Newburyport-Fall-19C0,0,0,0,0,0,0,0,,
CR-Sa-Providence-FallProvB-19,0,0,0,0,0,1,0,,
CR-Sa-Providence-FallProvB-19C0,0,0,0,0,0,0,0,,
CR-Sa-Worcester-Fall-19,0,0,0,0,0,1,0,,
CR-Sa-Worcester-Fall-19C0,0,0,0,0,0,0,0,,
CR-Su-Fairmount-Fall-19,0,0,0,0,0,0,1,,
CR-Su-Fitchburg-Fall-19,0,0,0,0,0,0,1,,
CR-Su-Fitchburg-Fall-19-FtgGLX,0,0,0,0,0,0,1,,
CR-Su-Franklin-Fall-19,0,0,0,0,0,0,1,,
CR-Su-Greenbush-Fall-19,0,0,0,0,0,0,1,,
CR-Su-Haverhill-Fall-19,0,0,0,0,0,0,1,,
CR-Su-Kingston-Fall-19,0,0,0,0,0,0,1,,
CR-Su-Lowell-Fall-19,0,0,0,0,0,0,1,,
CR-Su-Middleborough-Fall-19,0,0,0,0,0,0,1,,
CR-Su-Newburyport-Fall-19,0,0,0,0,0,0,1,,
CR-Su-Providence-FallProvB-19,0,0,0,0,0,0,1,,
CR-Su-Worcester-Fall-19,0,0,0,0,0,0,1,,
CR-Wdy-Fairmount-Fall-19,1,1,1,1,1,0,0,,
