route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id
Red-1-0,Red,0,Red-1-0,,,,
Red-3-0,Red,0,Red-3-0,,,,
Red-1-0_70061_70067_2,Red,0,Red-1-0_70061_70067_2,,,,
Red-3-0_70061_70067_2,Red,0,Red-3-0_70061_70067_2,,,,
Red-1-1,Red,1,Red-1-1,,,,
Red-3-1,Red,1,Red-3-1,,,,
Red-1-1_70068_70061_0,Red,1,Red-1-1_70068_70061_0,,,,
Red-3-1_70068_70061_0,Red,1,Red-3-1_70068_70061_0,,,,
Mattapan-_-0,Mattapan,0,Mattapan-_-0,,,,
Mattapan-_-1,Mattapan,1,Mattapan-_-1,,,,
Orange-3-0,Orange,0,Orange-3-0,,,,
Orange-3-0_70030_70016_0,Orange,0,Orange-3-0_70030_70016_0,,,,
Orange-3-0_70030_70016_2,Orange,0,Orange-3-0_70030_70016_2,,,,
Orange-5-0,Orange,0,Orange-5-0,,,,
Orange-3-1,Orange,1,Orange-3-1,,,,
Orange-3-1_70017_70031_0,Orange,1,Orange-3-1_70017_70031_0,,,,
Orange-3-1_70017_70031_2,Orange,1,Orange-3-1_70017_70031_2,,,,
Green-B-3-0,Green-B,0,Green-B-3-0,,,,
Green-B-0-0,Green-B,0,Green-B-0-0,,,,
Green-B-3-1,Green-B,1,Green-B-3-1,,,,
Green-B-0-1,Green-B,1,Green-B-0-1,,,,
Green-C-1-0,Green-C,0,Green-C-1-0,,,,
Green-C-0-0,Green-C,0,Green-C-0-0,,,,
Green-C-1-1,Green-C,1,Green-C-1-1,,,,
Green-C-0-1,Green-C,1,Green-C-0-1,,,,
Green-D-2-0,Green-D,0,Green-D-2-0,,,,
Green-D-0-0,Green-D,0,Green-D-0-0,,,,
Green-D-2-0_70151_70175_0,Green-D,0,Green-D-2-0_70151_70175_0,,,,
Green-D-2-0_70151_70175_2,Green-D,0,Green-D-2-0_70151_70175_2,,,,
Green-D-4-0,Green-D,0,Green-D-4-0,,,,
Green-D-4-0_70151_70175_0,Green-D,0,Green-D-4-0_70151_70175_0,,,,
Green-D-2-1,Green-D,1,Green-D-2-1,,,,
Green-D-0-1,Green-D,1,Green-D-0-1,,,,
Green-D-2-1_70174_70150_0,Green-D,1,Green-D-2-1_70174_70150_0,,,,
Green-D-2-1_70174_70150_2,Green-D,1,Green-D-2-1_70174_70150_2,,,,
Green-D-4-1,Green-D,1,Green-D-4-1,,,,
Green-D-5-1,Green-D,1,Green-D-5-1,,,,
Green-E-0-0,Green-E,0,Green-E-0-0,,,,
Green-E-2-0,Green-E,0,Green-E-2-0,,,,
Green-E-0-1,Green-E,1,Green-E-0-1,,,,
Blue-6-0,Blue,0,Blue-6-0,,,,
Blue-8-0,Blue,0,Blue-8-0,,,,
Blue-6-1,Blue,1,Blue-6-1,,,,
741-_-0,741,0,741-_-0,,,,
741-_-1,741,1,741-_-1,,,,
741-2-1,741,1,741-2-1,,,,
742-1-0,742,0,742-1-0,,,,
742-4-0,742,0,742-4-0,,,,
742-1-1,742,1,742-1-1,,,,
743-_-0,743,0,743-_-0,,,,
743-_-1,743,1,743-_-1,,,,
743-1-1,743,1,743-1-1,,,,
751-_-0,751,0,751-_-0,,,,
751-_-1,751,1,751-_-1,,,,
749-_-0,749,0,749-_-0,,,,
749-_-1,749,1,749-_-1,,,,
746-_-0,746,0,746-_-0,,,,
746-_-1,746,1,746-_-1,,,,
Boat-F4-0-0,Boat-F4,0,Boat-F4-0-0,,,,
Boat-F4-0-1,Boat-F4,1,Boat-F4-0-1,,,,
Boat-F1-0-0,Boat-F1,0,Boat-F1-0-0,,,,
Boat-F1-1-0,Boat-F1,0,Boat-F1-1-0,,,,
Boat-F1-2-0,Boat-F1,0,Boat-F1-2-0,,,,
Boat-F1-3-0,Boat-F1,0,Boat-F1-3-0,,,,
Boat-F1-4-0,Boat-F1,0,Boat-F1-4-0,,,,
Boat-F1-6-0,Boat-F1,0,Boat-F1-6-0,,,,
Boat-F1-9-0,Boat-F1,0,Boat-F1-9-0,,,,
Boat-F1-0-1,Boat-F1,1,Boat-F1-0-1,,,,
Boat-F1-1-1,Boat-F1,1,Boat-F1-1-1,,,,
Boat-F1-2-1,Boat-F1,1,Boat-F1-2-1,,,,
Boat-F1-3-1,Boat-F1,1,Boat-F1-3-1,,,,
Boat-F1-4-1,Boat-F1,1,Boat-F1-4-1,,,,
Boat-F1-6-1,Boat-F1,1,Boat-F1-6-1,,,,
747-_-0,747,0,747-_-0,,,,
747-_-1,747,1,747-_-1,,,,
708-_-0,708,0,708-_-0,,,,
708-1-0,708,0,708-1-0,,,,
708-_-1,708,1,708-_-1,,,,
708-1-1,708,1,708-1-1,,,,
1-_-0,1,0,1-_-0,,,,
1-_-1,1,1,1-_-1,,,,
4-1-0,4,0,4-1-0,,,,
4-_-0,4,0,4-_-0,,,,
4-_-1,4,1,4-_-1,,,,
4-1-1,4,1,4-1-1,,,,
7-1-0,7,0,7-1-0,,,,
7-2-0,7,0,7-2-0,,,,
7-7-0,7,0,7-7-0,,,,
7-1-1,7,1,7-1-1,,,,
7-2-1,7,1,7-2-1,,,,
7-5-1,7,1,7-5-1,,,,
8-9-0,8,0,8-9-0,,,,
8-1-0,8,0,8-1-0,,,,
8-D-0,8,0,8-D-0,,,,
8-9-1,8,1,8-9-1,,,,
8-1-1,8,1,8-1-1,,,,
8-D-1,8,1,8-D-1,,,,
9-_-0,9,0,9-_-0,,,,
9-1-0,9,0,9-1-0,,,,
9-5-0,9,0,9-5-0,,,,
9-_-1,9,1,9-_-1,,,,
9-1-1,9,1,9-1-1,,,,
9-4-1,9,1,9-4-1,,,,
10-9-0,10,0,10-9-0,,,,
10-8-0,10,0,10-8-0,,,,
10-5-0,10,0,10-5-0,,,,
10-E-0,10,0,10-E-0,,,,
10-9-1,10,1,10-9-1,,,,
10-2-1,10,1,10-2-1,,,,
11-3-0,11,0,11-3-0,,,,
11-2-0,11,0,11-2-0,,,,
11-3-1,11,1,11-3-1,,,,
11-2-1,11,1,11-2-1,,,,
14-_-0,14,0,14-_-0,,,,
14-1-0,14,0,14-1-0,,,,
14-_-1,14,1,14-_-1,,,,
15-1-0,15,0,15-1-0,,,,
15-_-0,15,0,15-_-0,,,,
15-2-0,15,0,15-2-0,,,,
15-3-0,15,0,15-3-0,,,,
15-6-0,15,0,15-6-0,,,,
15-H-0,15,0,15-H-0,,,,
15-1-1,15,1,15-1-1,,,,
15-_-1,15,1,15-_-1,,,,
15-2-1,15,1,15-2-1,,,,
15-3-1,15,1,15-3-1,,,,
15-4-1,15,1,15-4-1,,,,
15-H-1,15,1,15-H-1,,,,
16-5-0,16,0,16-5-0,,,,
16-9-0,16,0,16-9-0,,,,
16-3-0,16,0,16-3-0,,,,
16-2-0,16,0,16-2-0,,,,
16-8-0,16,0,16-8-0,,,,
16-7-0,16,0,16-7-0,,,,
16-5-1,16,1,16-5-1,,,,
16-9-1,16,1,16-9-1,,,,
16-3-1,16,1,16-3-1,,,,
16-2-1,16,1,16-2-1,,,,
16-8-1,16,1,16-8-1,,,,
16-E-1,16,1,16-E-1,,,,
17-_-0,17,0,17-_-0,,,,
17-_-1,17,1,17-_-1,,,,
18-_-0,18,0,18-_-0,,,,
18-_-1,18,1,18-_-1,,,,
19-3-0,19,0,19-3-0,,,,
19-_-0,19,0,19-_-0,,,,
19-F-0,19,0,19-F-0,,,,
19-1-0,19,0,19-1-0,,,,
19-E-0,19,0,19-E-0,,,,
19-3-1,19,1,19-3-1,,,,
19-_-1,19,1,19-_-1,,,,
19-E-1,19,1,19-E-1,,,,
21-_-0,21,0,21-_-0,,,,
21-_-1,21,1,21-_-1,,,,
21-B-1,21,1,21-B-1,,,,
22-_-0,22,0,22-_-0,,,,
22-1-0,22,0,22-1-0,,,,
22-2-0,22,0,22-2-0,,,,
22-3-0,22,0,22-3-0,,,,
22-_-1,22,1,22-_-1,,,,
23-_-0,23,0,23-_-0,,,,
23-1-0,23,0,23-1-0,,,,
23-3-0,23,0,23-3-0,,,,
23-_-1,23,1,23-_-1,,,,
23-2-1,23,1,23-2-1,,,,
23-E-1,23,1,23-E-1,,,,
23-G-1,23,1,23-G-1,,,,
24-_-0,24,0,24-_-0,,,,
24-1-0,24,0,24-1-0,,,,
24-_-1,24,1,24-_-1,,,,
24-4-1,24,1,24-4-1,,,,
2427-2-0,2427,0,2427-2-0,,,,
2427-2-1,2427,1,2427-2-1,,,,
2427-5-1,2427,1,2427-5-1,,,,
26-1-0,26,0,26-1-0,,,,
26-2-0,26,0,26-2-0,,,,
26-1-1,26,1,26-1-1,,,,
26-2-1,26,1,26-2-1,,,,
27-_-0,27,0,27-_-0,,,,
27-_-1,27,1,27-_-1,,,,
28-_-0,28,0,28-_-0,,,,
28-6-0,28,0,28-6-0,,,,
28-9-0,28,0,28-9-0,,,,
28-_-1,28,1,28-_-1,,,,
28-2-1,28,1,28-2-1,,,,
28-5-1,28,1,28-5-1,,,,
29-5-0,29,0,29-5-0,,,,
29-1-0,29,0,29-1-0,,,,
29-_-0,29,0,29-_-0,,,,
29-5-1,29,1,29-5-1,,,,
29-1-1,29,1,29-1-1,,,,
29-_-1,29,1,29-_-1,,,,
30-2-0,30,0,30-2-0,,,,
30-A-0,30,0,30-A-0,,,,
30-2-1,30,1,30-2-1,,,,
30-A-1,30,1,30-A-1,,,,
31-_-0,31,0,31-_-0,,,,
31-_-1,31,1,31-_-1,,,,
32-1-0,32,0,32-1-0,,,,
32-_-0,32,0,32-_-0,,,,
32-3-0,32,0,32-3-0,,,,
32-9-0,32,0,32-9-0,,,,
32-1-1,32,1,32-1-1,,,,
32-_-1,32,1,32-_-1,,,,
32-3-1,32,1,32-3-1,,,,
32-9-1,32,1,32-9-1,,,,
32-C-1,32,1,32-C-1,,,,
3233-5-0,3233,0,3233-5-0,,,,
33-5-0,33,0,33-5-0,,,,
33-6-0,33,0,33-6-0,,,,
33-1-0,33,0,33-1-0,,,,
33-5-1,33,1,33-5-1,,,,
33-6-1,33,1,33-6-1,,,,
33-7-1,33,1,33-7-1,,,,
33-1-1,33,1,33-1-1,,,,
33-4-1,33,1,33-4-1,,,,
34-3-0,34,0,34-3-0,,,,
34-_-0,34,0,34-_-0,,,,
34-K-0,34,0,34-K-0,,,,
34-3-1,34,1,34-3-1,,,,
34-_-1,34,1,34-_-1,,,,
34-K-1,34,1,34-K-1,,,,
34E-4-0,34E,0,34E-4-0,,,,
34E-6-0,34E,0,34E-6-0,,,,
34E-2-0,34E,0,34E-2-0,,,,
34E-1-1,34E,1,34E-1-1,,,,
34E-6-1,34E,1,34E-6-1,,,,
34E-2-1,34E,1,34E-2-1,,,,
35-1-0,35,0,35-1-0,,,,
35-_-0,35,0,35-_-0,,,,
35-3-0,35,0,35-3-0,,,,
35-1-1,35,1,35-1-1,,,,
35-_-1,35,1,35-_-1,,,,
35-2-1,35,1,35-2-1,,,,
36-8-0,36,0,36-8-0,,,,
36-1-0,36,0,36-1-0,,,,
36-_-0,36,0,36-_-0,,,,
36-5-0,36,0,36-5-0,,,,
36-9-0,36,0,36-9-0,,,,
36-G-0,36,0,36-G-0,,,,
36-8-1,36,1,36-8-1,,,,
36-1-1,36,1,36-1-1,,,,
36-_-1,36,1,36-_-1,,,,
36-5-1,36,1,36-5-1,,,,
36-9-1,36,1,36-9-1,,,,
36-H-1,36,1,36-H-1,,,,
37-_-0,37,0,37-_-0,,,,
37-D-0,37,0,37-D-0,,,,
37-_-1,37,1,37-_-1,,,,
37-3-1,37,1,37-3-1,,,,
38-_-0,38,0,38-_-0,,,,
38-1-0,38,0,38-1-0,,,,
38-_-1,38,1,38-_-1,,,,
38-C-1,38,1,38-C-1,,,,
38-D-1,38,1,38-D-1,,,,
39-3-0,39,0,39-3-0,,,,
39-7-0,39,0,39-7-0,,,,
39-Y-0,39,0,39-Y-0,,,,
39-_-0,39,0,39-_-0,,,,
39-3-1,39,1,39-3-1,,,,
39-7-1,39,1,39-7-1,,,,
39-I-1,39,1,39-I-1,,,,
39-_-1,39,1,39-_-1,,,,
40-_-0,40,0,40-_-0,,,,
40-2-0,40,0,40-2-0,,,,
40-_-1,40,1,40-_-1,,,,
40-2-1,40,1,40-2-1,,,,
4050-5-0,4050,0,4050-5-0,,,,
4050-5-1,4050,1,4050-5-1,,,,
41-_-0,41,0,41-_-0,,,,
41-1-0,41,0,41-1-0,,,,
41-_-1,41,1,41-_-1,,,,
42-1-0,42,0,42-1-0,,,,
42-1-1,42,1,42-1-1,,,,
43-_-0,43,0,43-_-0,,,,
43-_-1,43,1,43-_-1,,,,
44-1-0,44,0,44-1-0,,,,
44-2-0,44,0,44-2-0,,,,
44-1-1,44,1,44-1-1,,,,
45-3-0,45,0,45-3-0,,,,
45-_-0,45,0,45-_-0,,,,
45-1-0,45,0,45-1-0,,,,
45-_-1,45,1,45-_-1,,,,
45-1-1,45,1,45-1-1,,,,
45-2-1,45,1,45-2-1,,,,
47-8-0,47,0,47-8-0,,,,
47-8-1,47,1,47-8-1,,,,
50-_-0,50,0,50-_-0,,,,
50-_-1,50,1,50-_-1,,,,
51-_-0,51,0,51-_-0,,,,
51-9-0,51,0,51-9-0,,,,
51-_-1,51,1,51-_-1,,,,
51-1-1,51,1,51-1-1,,,,
51-9-1,51,1,51-9-1,,,,
52-5-0,52,0,52-5-0,,,,
52-4-0,52,0,52-4-0,,,,
52-5-1,52,1,52-5-1,,,,
52-4-1,52,1,52-4-1,,,,
55-_-0,55,0,55-_-0,,,,
55-1-0,55,0,55-1-0,,,,
55-_-1,55,1,55-_-1,,,,
55-1-1,55,1,55-1-1,,,,
57-_-0,57,0,57-_-0,,,,
57-8-0,57,0,57-8-0,,,,
57-C-0,57,0,57-C-0,,,,
57-H-0,57,0,57-H-0,,,,
57-_-1,57,1,57-_-1,,,,
57-4-1,57,1,57-4-1,,,,
57-E-1,57,1,57-E-1,,,,
57-G-1,57,1,57-G-1,,,,
57-H-1,57,1,57-H-1,,,,
57A-_-0,57A,0,57A-_-0,,,,
57A-_-1,57A,1,57A-_-1,,,,
59-2-0,59,0,59-2-0,,,,
59-_-0,59,0,59-_-0,,,,
59-2-1,59,1,59-2-1,,,,
59-_-1,59,1,59-_-1,,,,
60-_-0,60,0,60-_-0,,,,
60-2-0,60,0,60-2-0,,,,
60-3-0,60,0,60-3-0,,,,
60-4-0,60,0,60-4-0,,,,
60-_-1,60,1,60-_-1,,,,
60-2-1,60,1,60-2-1,,,,
60-3-1,60,1,60-3-1,,,,
61-_-0,61,0,61-_-0,,,,
61-_-1,61,1,61-_-1,,,,
62-3-0,62,0,62-3-0,,,,
62-8-0,62,0,62-8-0,,,,
62-4-0,62,0,62-4-0,,,,
62-3-1,62,1,62-3-1,,,,
62-8-1,62,1,62-8-1,,,,
62-4-1,62,1,62-4-1,,,,
627-_-0,627,0,627-_-0,,,,
627-_-1,627,1,627-_-1,,,,
64-6-0,64,0,64-6-0,,,,
64-_-0,64,0,64-_-0,,,,
64-3-0,64,0,64-3-0,,,,
64-6-1,64,1,64-6-1,,,,
64-_-1,64,1,64-_-1,,,,
65-_-0,65,0,65-_-0,,,,
65-_-1,65,1,65-_-1,,,,
66-6-0,66,0,66-6-0,,,,
66-5-0,66,0,66-5-0,,,,
66-B-0,66,0,66-B-0,,,,
66-6-1,66,1,66-6-1,,,,
66-7-1,66,1,66-7-1,,,,
66-B-1,66,1,66-B-1,,,,
67-4-0,67,0,67-4-0,,,,
67-4-1,67,1,67-4-1,,,,
68-_-0,68,0,68-_-0,,,,
68-_-1,68,1,68-_-1,,,,
69-_-0,69,0,69-_-0,,,,
69-_-1,69,1,69-_-1,,,,
69-1-1,69,1,69-1-1,,,,
70-8-0,70,0,70-8-0,,,,
70-6-0,70,0,70-6-0,,,,
70-5-0,70,0,70-5-0,,,,
70-2-0,70,0,70-2-0,,,,
70-8-1,70,1,70-8-1,,,,
70-6-1,70,1,70-6-1,,,,
70-5-1,70,1,70-5-1,,,,
70-3-1,70,1,70-3-1,,,,
71-_-0,71,0,71-_-0,,,,
71-2-0,71,0,71-2-0,,,,
71-1-0,71,0,71-1-0,,,,
71-3-0,71,0,71-3-0,,,,
71-_-1,71,1,71-_-1,,,,
71-1-1,71,1,71-1-1,,,,
71-3-1,71,1,71-3-1,,,,
72-2-0,72,0,72-2-0,,,,
72-1-1,72,1,72-1-1,,,,
72-6-1,72,1,72-6-1,,,,
73-_-0,73,0,73-_-0,,,,
