route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,route_fare_class,line_id,route
Red,1,,Red Line,,,,,,,,,
Mattapan,1,,Mattapan Trolley,,,,,,,,,
Orange,1,,Orange Line,,,,,,,,,
Green-B,1,,Green Line B,,,,,,,,,
Green-C,1,,Green Line C,,,,,,,,,
Green-D,1,,Green Line D,,,,,,,,,
Green-E,1,,Green Line E,,,,,,,,,
Blue,1,,Blue Line,,,,,,,,,
741,1,,Logan Airport - South Station,,,,,,,,,
742,1,,Design Center - South Station,,,,,,,,,
743,1,,Chelsea - South Station,,,,,,,,,
751,1,,Dudley - South Station,,,,,,,,,
749,1,,Dudley - Downtown Crossing,,,,,,,,,
746,1,,Silver Line Way - South Station,,,,,,,,,
CR-Fairmount,1,,Fairmount Line,,,,,,,,,
CR-Fitchburg,1,,Fitchburg Line,,,,,,,,,
CR-Worcester,1,,Framingham/Worcester Line,,,,,,,,,
CR-Franklin,1,,Franklin Line/Foxboro Pilot,,,,,,,,,
CR-Greenbush,1,,Greenbush Line,,,,,,,,,
CR-Haverhill,1,,Haverhill Line,,,,,,,,,
CR-Kingston,1,,Kingston/Plymouth Line,,,,,,,,,
CR-Lowell,1,,Lowell Line,,,,,,,,,
CR-Middleborough,1,,Middleborough/Lakeville Line,,,,,,,,,
CR-Needham,1,,Needham Line,,,,,,,,,
CR-Providence,1,,Providence/Stoughton Line,,,,,,,,,
CR-Foxboro,1,,Foxboro Event Service,,,,,,,,,
Boat-F4,1,,Charlestown Ferry,,,,,,,,,
Boat-F1,1,,Hingham/Hull Ferry,,,,,,,,,
747,1,,Sullivan - Ruggles,,,,,,,,,
708,1,,Beth Israel Deaconess or Boston Medical Center - Andrew,,,,,,,,,
1,1,,Harvard - Dudley via Massachusetts Avenue,,,,,,,,,
4,1,,North Station - Tide Street,,,,,,,,,
7,1,,City Point - Downtown Boston,,,,,,,,,
8,1,,Harbor Point/UMass - Kenmore,,,,,,,,,
9,1,,City Point - Copley via Broadway Station,,,,,,,,,
10,1,,City Point - Copley via Boston Medical Center,,,,,,,,,
11,1,,City Point - Downtown Boston,,,,,,,,,
14,1,,Roslindale Square - Heath Street,,,,,,,,,
15,1,,Kane Square - Ruggles,,,,,,,,,
16,1,,Forest Hills - Andrew or Harbor Point,,,,,,,,,
17,1,,Fields Corner - Andrew via Uphams Corner,,,,,,,,,
18,1,,Ashmont - Andrew,,,,,,,,,
19,1,,Fields Corner - Kenmore or Ruggles,,,,,,,,,
21,1,,Ashmont - Forest Hills,,,,,,,,,
22,1,,Ashmont - Ruggles via Jackson Square,,,,,,,,,
23,1,,Ashmont - Ruggles via Washington Street,,,,,,,,,
24,1,,Wakefield Avenue & Truman Parkway - Mattapan or Ashmont,,,,,,,,,
2427,1,,Wakefield Avenue & Truman Parkway - Ashmont,,,,,,,,,
26,1,,Ashmont - Gallivan Boulevard,,,,,,,,,
27,1,,Mattapan - Ashmont,,,,,,,,,
28,1,,Mattapan - Ruggles,,,,,,,,,
29,1,,Mattapan - Jackson Square,,,,,,,,,
30,1,,Mattapan - Forest Hills via Roslindale Square,,,,,,,,,
31,1,,Mattapan - Forest Hills via Morton Street,,,,,,,,,
32,1,,Wolcott Square - Forest Hills,,,,,,,,,
3233,1,,"River Street & Milton Street, Dedham - Forest Hills",,,,,,,,,
33,1,,"River Street & Milton Street, Dedham - Mattapan",,,,,,,,,
34,1,,Dedham Line - Forest Hills,,,,,,,,,
34E,1,,Walpole - Forest Hills,,,,,,,,,
35,1,,Dedham Mall - Forest Hills,,,,,,,,,
36,1,,Millennium Park or VA Hospital - Forest Hills,,,,,,,,,
37,1,,Baker Street & Vermont Street - Forest Hills,,,,,,,,,
38,1,,Wren Street - Forest Hills,,,,,,,,,
39,1,,Forest Hills - Back Bay Station,,,,,,,,,
40,1,,Georgetowne - Forest Hills,,,,,,,,,
4050,1,,Cleary Square - Forest Hills,,,,,,,,,
41,1,,Centre Street & Eliot Street - JFK/UMass Station,,,,,,,,,
42,1,,Forest Hills - Dudley,,,,,,,,,
43,1,,Ruggles - Downtown Boston,,,,,,,,,
44,1,,Jackson Square - Ruggles,,,,,,,,,
45,1,,Franklin Park - Ruggles,,,,,,,,,
47,1,,"Central Square, Cambridge - Broadway Station",,,,,,,,,
50,1,,Cleary Square - Forest Hills,,,,,,,,,
51,1,,Reservoir - Forest Hills,,,,,,,,,
52,1,,Dedham Mall - Watertown Yard,,,,,,,,,
55,1,,Jersey Street & Queensberry Street - Downtown Boston,,,,,,,,,
57,1,,Watertown Yard - Kenmore,,,,,,,,,
57A,1,,Oak Square - Kenmore,,,,,,,,,
59,1,,Needham Junction - Watertown Square,,,,,,,,,
60,1,,Chestnut Hill - Kenmore,,,,,,,,,
61,1,,North Waltham - Waltham Center,,,,,,,,,
62,1,,Bedford VA Hospital - Alewife,,,,,,,,,
627,1,,Bedford VA Hospital - Alewife via Hanscom Air Force Base,,,,,,,,,
64,1,,Oak Square - University Park or Kendall/MIT,,,,,,,,,
65,1,,Brighton - Kenmore,,,,,,,,,
66,1,,Harvard - Dudley via Allston,,,,,,,,,
67,1,,Turkey Hill - Alewife,,,,,,,,,
68,1,,Harvard - Kendall/MIT,,,,,,,,,
69,1,,Harvard - Lechmere,,,,,,,,,
70,1,,"Cedarwood - Central Square, Cambridge",,,,,,,,,
71,1,,Watertown Square - Harvard,,,,,,,,,
72,1,,Huron Avenue - Harvard,,,,,,,,,
73,1,,Waverley Square - Harvard,,,,,,,,,
74,1,,Belmont Center - Harvard via Concord Avenue,,,,,,,,,
75,1,,Belmont Center - Harvard via Huron Ave,,,,,,,,,
76,1,,Lincoln Lab/Hanscom Air Force Base - Alewife,,,,,,,,,
77,1,,Arlington Heights - Harvard,,,,,,,,,
