stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type
place-WML-0252,place-WML-0252,Ashland,,,,42.26149,-71.482161,CR-zone-6,,,,1,,1,Ashland,,,
Ashland,Ashland,Ashland,,,,42.26149,-71.482161,CR-zone-6,,,,0,place-WML-0252,1,Ashland,,,2
place-CM-0547,place-CM-0547,Buzzards Bay,,,,41.744805,-70.616226,CF-zone-buzzards,,,,1,,1,Bourne,,,
place-WR-0329,place-WR-0329,Haverhill,,,,42.773474,-71.086237,CR-zone-7,,,,1,,1,Haverhill,,,
Haverhill,Haverhill,Haverhill,,,,42.773474,-71.086237,CR-zone-7,,,,0,place-WR-0329,1,Haverhill,,,2
place-smary,place-smary,Saint Marys Street,,,,42.345974,-71.107353,,,,,1,,1,Brookline,,,
70211,70211,Saint Marys Street,,,,42.345884,-71.107697,,,,level_median,0,place-smary,1,Brookline,,,0
70212,70212,Saint Marys Street,,,,42.346007,-71.107166,,,,level_median,0,place-smary,1,Brookline,,,0
place-waban,place-waban,Waban,,,,42.325943,-71.230728,,,,,1,,2,Newton,,,
70164,70164,Waban,,,,42.325899,-71.230805,,,,level_ground,0,place-waban,2,Newton,,,0
70165,70165,Waban,,,,42.325943,-71.23073,,,,level_ground,0,place-waban,2,Newton,,,0
place-WR-0075,place-WR-0075,Melrose Highlands,,,,42.469464,-71.068297,CR-zone-1,,,,1,,1,Melrose,,,
Melrose Highlands,Melrose Highlands,Melrose Highlands,,,,42.469464,-71.068297,CR-zone-1,,,,0,place-WR-0075,1,Melrose,,,2
place-denrd,place-denrd,Dean Road,,,,42.337807,-71.141853,,,,,1,,2,Brookline,,,
70233,70233,Dean Road,,,,42.337807,-71.141753,,,,level_median,0,place-denrd,2,Brookline,,,0
70234,70234,Dean Road,,,,42.337628,-71.142309,,,,level_median,0,place-denrd,2,Brookline,,,0
place-orhte,place-orhte,Orient Heights,,,,42.386867,-71.004736,,,,,1,,1,Boston,,,
70051,70051,Orient Heights,,,,42.386867,-71.004736,,,,level_0_platform,0,place-orhte,1,Boston,,,1
70052,70052,Orient Heights,,,,42.386867,-71.004736,,,,level_0_platform,0,place-orhte,1,Boston,,,1
place-FB-0125,place-FB-0125,Islington,,,,42.22105,-71.183961,CR-zone-3,,,,1,,2,Westwood,,,
Islington,Islington,Islington,,,,42.22105,-71.183961,CR-zone-3,,,,0,place-FB-0125,2,Westwood,,,2
place-MM-0277,place-MM-0277,Bridgewater,,,,41.984916,-70.96537,CR-zone-6,,,,1,,1,Bridgewater,,,
Bridgewater,Bridgewater,Bridgewater,,,,41.984916,-70.96537,CR-zone-6,,,,0,place-MM-0277,1,Bridgewater,,,2
place-NEC-1851,place-NEC-1851,Providence,,,,41.829293,-71.413301,CR-zone-8,,,,1,,1,Providence,,,
Providence,Providence,Providence,,,,41.829293,-71.413301,CR-zone-8,,,,0,place-NEC-1851,1,Providence,,,2
place-bland,place-bland,Blandford Street,,,,42.349293,-71.100258,,,,,1,,2,Boston,,,
70148,70148,Blandford Street,,,,42.349165,-71.099821,,,,level_median,0,place-bland,2,Boston,,,0
70149,70149,Blandford Street,,,,42.349276,-71.100213,,,,level_median,0,place-bland,2,Boston,,,0
place-NEC-2203,place-NEC-2203,Hyde Park,,,,42.25503,-71.125526,CR-zone-1,,,,1,,1,Boston,,,
Hyde Park,Hyde Park,Hyde Park,,,,42.25503,-71.125526,CR-zone-1,,,,0,place-NEC-2203,1,Boston,,,2
place-mlmnl,place-mlmnl,Malden Center,,,,42.426632,-71.07411,CR-zone-1A,,,,1,,1,Malden,,,
70034,70034,Malden Center,,,,42.426632,-71.07411,,,,level_1_orange_platform,0,place-mlmnl,1,Malden,,,1
70035,70035,Malden Center,,,,42.426632,-71.07411,,,,level_1_orange_platform,0,place-mlmnl,1,Malden,,,1
Malden Center,Malden Center,Malden Center,,,,42.426632,-71.074112,CR-zone-1A,,,level_1_cr_platform,0,place-mlmnl,1,Malden,,,2
place-butlr,place-butlr,Butler,,,,42.272343,-71.062584,,,,,1,,1,Boston,,,
place-mvbcl,place-mvbcl,Maverick,,,,42.369119,-71.03953,,,,,1,,1,Boston,,,
70045,70045,Maverick,,,,42.369119,-71.03953,,,,level_-1_platform,0,place-mvbcl,1,Boston,,,1
70046,70046,Maverick,,,,42.369119,-71.03953,,,,level_-1_platform,0,place-mvbcl,1,Boston,,,1
place-WR-0067,place-WR-0067,Melrose Cedar Park,,,,42.458768,-71.069789,CR-zone-1,,,,1,,2,Melrose,,,
Melrose Cedar Park,Melrose Cedar Park,Melrose Cedar Park,,,,42.458768,-71.069789,CR-zone-1,,,,0,place-WR-0067,2,Melrose,,,2
place-DB-2230,place-DB-2230,Morton Street,,,,42.280994,-71.085475,CR-zone-1A,,,,1,,1,Boston,,,
Morton Street,Morton Street,Morton Street,,,,42.280994,-71.085475,CR-zone-1A,,,,0,place-DB-2230,1,Boston,,,2
place-NB-0127,place-NB-0127,Needham Center,,,,42.280775,-71.237686,CR-zone-2,,,,1,,1,Needham,,,
Needham Center,Needham Center,Needham Center,,,,42.280775,-71.237686,CR-zone-2,,,,0,place-NB-0127,1,Needham,,,2
place-WR-0062,place-WR-0062,Wyoming Hill,,,,42.451731,-71.069379,CR-zone-1,,,,1,,2,Melrose,,,
Wyoming Hill,Wyoming Hill,Wyoming Hill,,,,42.451731,-71.069379,CR-zone-1,,,,0,place-WR-0062,2,Melrose,,,2
place-FB-0118,place-FB-0118,Dedham Corp Center,,,,42.227079,-71.174254,CR-zone-2,,,,1,,1,Dedham,,,
