from_stop_id,to_stop_id,transfer_type,min_transfer_time,min_walk_time,min_wheelchair_time,suggested_buffer_time,wheelchair_transfer
place-GB-0229-0,place-GB-0229-1,0,180,120,180,60,1
place-GB-0229-1,place-GB-0229-0,0,180,120,180,60,1
place-FR-0494-0,place-FR-0494-1,0,180,120,180,60,1
place-FR-0494-1,place-FR-0494-0,0,180,120,180,60,1
place-GRB-0146-0,place-GRB-0146-1,0,180,120,180,60,1
place-GRB-0146-1,place-GRB-0146-0,0,180,120,180,60,1
70154,70155,0,0,0,0,0,
70155,70154,0,0,0,0,0,
place-ER-0099-0,place-ER-0099-1,0,180,120,180,60,1
place-ER-0099-1,place-ER-0099-0,0,180,120,180,60,1
70071,70072,0,0,0,0,0,
70072,70071,0,0,0,0,0,
place-rr-north-revere-0,place-rr-north-revere-1,0,180,120,180,60,1
place-rr-north-revere-1,place-rr-north-revere-0,0,180,120,180,60,1
place-WR-0085-0,place-WR-0085-1,0,180,120,180,60,1
place-WR-0085-1,place-WR-0085-0,0,180,120,180,60,1
70020,70021,0,138,78,0,60,2
70020,70075,0,285,180,299,105,1
70020,70076,0,285,180,299,105,1
70020,70077,0,175,115,0,60,2
70020,70078,0,171,111,0,60,2
70020,70196,0,323,233,418,90,1
70020,70197,0,323,233,418,90,1
70020,70198,0,324,234,302,90,1
70020,70199,0,324,234,302,90,1
70020,70200,0,291,201,260,90,1
70020,71199,0,297,207,268,90,1
70021,70020,0,140,80,0,60,2
70021,70075,0,322,217,0,105,2
70021,70076,0,322,217,0,105,2
70021,70077,0,204,144,341,60,1
70021,70078,0,145,85,159,60,1
70021,70196,0,361,271,0,90,2
70021,70197,0,361,271,0,90,2
70021,70198,0,361,271,0,90,2
70021,70199,0,361,271,0,90,2
70021,70200,0,328,238,0,90,2
70021,71199,0,334,244,0,90,2
70077,70020,0,174,114,0,60,2
70077,70021,0,195,135,329,60,1
70077,70075,0,349,244,0,105,2
70077,70076,0,349,244,0,105,2
70077,70078,0,106,46,164,60,1
70077,70196,0,387,297,0,90,2
70077,70197,0,387,297,0,90,2
70077,70198,0,387,297,0,90,2
70077,70199,0,387,297,0,90,2
70077,70200,0,355,265,0,90,2
70077,71199,0,361,271,0,90,2
70078,70020,0,170,110,0,60,2
70078,70021,0,149,89,165,60,1
70078,70075,0,352,247,0,105,2
70078,70076,0,352,247,0,105,2
70078,70077,0,120,60,181,60,1
70078,70196,0,391,301,0,90,2
70078,70197,0,391,301,0,90,2
70078,70198,0,391,301,0,90,2
70078,70199,0,391,301,0,90,2
70078,70200,0,358,268,0,90,2
70078,71199,0,364,274,0,90,2
place-PB-0356-0,place-PB-0356-1,0,180,120,180,60,1
place-PB-0356-1,place-PB-0356-0,0,180,120,180,60,1
place-GRB-0118-0,place-GRB-0118-1,0,180,120,180,60,1
place-GRB-0118-1,place-GRB-0118-0,0,180,120,180,60,1
place-kingston-jct-0,place-kingston-jct-1,0,180,120,180,60,1
place-kingston-jct-1,place-kingston-jct-0,0,180,120,180,60,1
70055,70056,0,92,32,162,60,1
70056,70055,0,92,32,162,60,1
70097,3125,0,201,81,144,120,1
70097,70098,0,65,5,7,60,1
70098,3125,0,201,81,144,120,1
70098,70097,0,65,5,7,60,1
70067,2076,0,301,181,235,120,1
70067,20761,0,301,181,235,120,1
70067,20762,0,271,181,235,90,1
70067,70068,0,273,213,276,60,1
70068,2076,0,241,121,156,120,1
70068,20761,0,241,121,156,120,1
70068,20762,0,211,121,156,90,1
70068,70067,0,219,159,206,60,1
place-WML-0035-0,place-WML-0035-1,0,180,120,180,60,1
place-WML-0035-1,place-WML-0035-0,0,180,120,180,60,1
place-WML-0025-0,place-WML-0025-1,0,180,120,180,60,1
place-WML-0025-1,place-WML-0025-0,0,180,120,180,60,1
70006,11531,0,165,45,116,120,1
70006,70007,0,115,55,72,60,1
70007,11531,0,165,45,116,120,1
70007,70006,0,115,55,72,60,1
70012,70013,0,125,65,84,60,1
70013,70012,0,125,65,84,60,1
place-MM-0150-0,place-MM-0150-1,0,180,120,180,60,1
place-MM-0150-1,place-MM-0150-0,0,180,120,180,60,1
place-DB-2258-0,place-DB-2258-1,0,180,120,180,60,1
place-DB-2258-1,place-DB-2258-0,0,180,120,180,60,1
place-FR-0115-0,place-FR-0115-1,0,180,120,180,60,1
place-FR-0115-1,place-FR-0115-0,0,180,120,180,60,1
place-FB-0118-0,place-FB-0118-1,0,180,120,180,60,1
place-FB-0118-1,place-FB-0118-0,0,180,120,180,60,1
place-WR-0264-0,place-WR-0264-1,0,180,120,180,60,1
place-WR-0264-1,place-WR-0264-0,0,180,120,180,60,1
place-SB-0189-0,place-SB-0189-1,0,180,120,180,60,1
place-SB-0189-1,place-SB-0189-0,0,180,120,180,60,1
70004,70005,0,117,57,74,60,1
70005,70004,0,116,56,72,60,1
place-NB-0064-0,place-NB-0064-1,0,180,120,180,60,1
place-NB-0064-1,place-NB-0064-0,0,180,120,180,60,1
place-rr-river-street-0,place-rr-river-street-1,0,180,120,180,60,1
place-rr-river-street-1,place-rr-river-street-0,0,180,120,180,60,1
place-PB-0194-0,place-PB-0194-1,0,180,120,180,60,1
place-PB-0194-1,place-PB-0194-0,0,180,120,180,60,1
70156,70157,0,164,44,165,120,1
70157,70156,0,166,46,167,120,1
70061,141,0,260,140,259,120,1
70061,Alewife-01,0,326,236,477,90,1
70061,Alewife-02,0,326,236,477,90,1
place-WML-0125-0,place-WML-0125-1,0,180,120,180,60,1
place-WML-0125-1,place-WML-0125-0,0,180,120,180,60,1
70002,70003,0,116,56,72,60,1
70003,70002,0,116,56,72,60,1
70103,70104,0,291,231,161,60,1
70104,70103,0,291,231,161,60,1
place-NHRML-0152-0,place-NHRML-0152-1,0,180,120,180,60,1
place-NHRML-0152-1,place-NHRML-0152-0,0,180,120,180,60,1
place-NB-0080-0,place-NB-0080-1,0,180,120,180,60,1
place-NB-0080-1,place-NB-0080-0,0,180,120,180,60,1
place-PB-0281-0,place-PB-0281-1,0,180,120,180,60,1
place-PB-0281-1,place-PB-0281-0,0,180,120,180,60,1
place-NHRML-0127-0,place-NHRML-0127-1,0,180,120,180,60,1
place-NHRML-0127-1,place-NHRML-0127-0,0,180,120,180,60,1
place-NB-0072-0,place-NB-0072-1,0,180,120,180,60,1
place-NB-0072-1,place-NB-0072-0,0,180,120,180,60,1
70018,70019,0,0,0,0,0,
70019,70018,0,0,0,0,0,
70186,70187,0,191,71,92,120,1
70187,70186,0,191,71,92,120,1
place-rr-west-station-0,place-rr-west-station-1,0,180,120,180,60,1
place-rr-west-station-1,place-rr-west-station-0,0,180,120,180,60,1
place-GRB-0233-0,place-GRB-0233-1,0,180,120,180,60,1
place-GRB-0233-1,place-GRB-0233-0,0,180,120,180,60,1
70182,70183,0,175,55,94,120,1
70183,70182,0,175,55,96,120,1
place-north-0,place-north-1,0,180,120,180,60,1
place-north-1,place-north-0,0,180,120,180,60,1
70026,70027,0,120,60,104,60,1
70026,70205,0,132,42,64,90,1
70026,70206,0,106,16,13,90,1
70027,70026,0,120,60,104,60,1
70027,70205,0,162,72,94,90,1
70027,70206,0,164,74,118,90,1
70205,70026,0,132,42,64,90,1
70205,70027,0,162,72,105,90,1
70205,70206,0,162,42,64,120,1
70206,70026,0,106,16,13,90,1
70206,70027,0,162,72,116,90,1
70206,70205,0,162,42,64,120,1
place-north-0,70026,0,422,302,431,120,1
70026,place-north-0,0,422,302,431,120,1
place-north-1,70026,0,422,302,431,120,1
70026,place-north-1,0,422,302,431,120,1
place-north-0,70027,0,445,325,474,120,1
70027,place-north-0,0,445,325,474,120,1
place-north-1,70027,0,445,325,474,120,1
70027,place-north-1,0,445,325,474,120,1
place-north-0,70206,0,455,335,474,120,1
70206,place-north-0,0,455,335,474,120,1
place-north-1,70206,0,455,335,474,120,1
70206,place-north-1,0,455,335,474,120,1
place-north-0,70205,0,422,302,458,120,1
70205,place-north-0,0,422,302,458,120,1
place-north-1,70205,0,422,302,458,120,1
70205,place-north-1,0,422,302,458,120,1
place-jfk-0,place-jfk-1,0,180,120,180,60,1
place-jfk-1,place-jfk-0,0,180,120,180,60,1
70085,70086,0,66,6,8,60,1
70085,70095,0,88,28,136,60,1
70085,70096,0,88,28,136,60,1
70086,70085,0,66,6,8,60,1
70086,70095,0,88,28,136,60,1
70086,70096,0,88,28,136,60,1
70095,70085,0,88,28,136,60,1
70095,70086,0,88,28,136,60,1
70095,70096,0,66,6,8,60,1
70096,70085,0,88,28,136,60,1
70096,70086,0,88,28,136,60,1
70096,70095,0,66,6,8,60,1
place-jfk-0,70096,0,343,223,335,120,1
70096,place-jfk-0,0,343,223,335,120,1
place-jfk-1,70096,0,343,223,335,120,1
70096,place-jfk-1,0,343,223,335,120,1
place-jfk-0,70086,0,346,226,340,120,1
70086,place-jfk-0,0,346,226,340,120,1
place-jfk-1,70086,0,346,226,340,120,1
70086,place-jfk-1,0,346,226,340,120,1
place-jfk-0,70095,0,343,223,335,120,1
